"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,15,533,Country/Area,915,38.05,38.27,38.96,40.15,41.76,43.72,45.93,48.24,50.5,52.53,54.21,55.43,56.23,56.7,57.03,57.36,57.7,58.04,58.38,58.73,59.07,59.44,59.85,60.24,60.53,60.65,60.59,60.37,60.1,59.97,60.1,60.56,61.34,62.21,62.83,63.02,62.65,61.84,61.07,61.03,62.15,64.62,68.24,72.5,76.71,80.32,83.21,85.45,87.28,89.01,90.87,92.89,94.99,97.02,98.74,100.03,100.83,101.23,101.36,101.45,101.67,102.05,102.57,103.17,103.78,104.34,104.87,105.36,105.85,106.31,106.77
Bahamas,,44,Country/Area,915,79.09,79.99,81.43,83.37,85.78,88.63,91.9,95.62,99.78,104.42,109.53,115.12,121.09,127.34,133.71,140.06,146.38,152.62,158.65,164.27,169.38,173.89,177.86,181.52,185.11,188.9,192.9,197.1,201.48,205.99,210.59,215.32,220.18,225.1,229.91,234.58,239.02,243.27,247.45,251.74,256.23,261.01,266.03,271.07,275.85,280.18,283.98,287.36,290.6,294.06,298.05,302.62,307.66,313.12,318.89,324.85,331.03,337.39,343.68,349.6,354.94,359.58,363.58,367.16,370.63,374.2,377.92,381.75,385.64,389.49,393.25
Barbados,,52,Country/Area,915,210.99,215.72,219.67,222.85,225.32,227.13,228.41,229.27,229.88,230.4,230.99,231.72,232.62,233.63,234.59,235.42,236.08,236.66,237.24,237.96,238.9,240.09,241.52,243.08,244.64,246.16,247.58,248.93,250.2,251.35,252.39,253.3,254.08,254.79,255.49,256.26,257.12,258.01,258.97,259.96,260.93,261.91,262.89,263.87,264.89,265.96,267.05,268.18,269.33,270.46,271.51,272.49,273.42,274.33,275.28,276.32,277.48,278.7,279.95,281.11,282.13,282.99,283.7,284.29,284.83,285.33,285.8,286.23,286.64,287.02,287.37
"Bonaire, Sint Eustatius and Saba",15,535,Country/Area,915,7.13,7.29,7.43,7.52,7.61,7.67,7.72,7.78,7.86,7.95,8.08,8.23,8.43,8.65,8.89,9.13,9.39,9.64,9.91,10.15,10.36,10.54,10.72,10.84,10.96,11.03,11.08,11.09,11.11,11.14,11.21,11.32,11.47,11.65,11.84,12.02,12.19,12.33,12.49,12.71,13.01,13.43,13.94,14.45,14.86,15.1,15.16,15.08,14.89,14.63,14.39,14.13,13.88,13.76,13.89,14.4,15.34,16.65,18.16,19.65,20.94,22,22.84,23.51,24.07,24.57,25.02,25.4,25.71,25.98,26.22
British Virgin Islands,14,92,Country/Area,915,7.44,7.5,7.55,7.6,7.63,7.68,7.73,7.78,7.86,7.94,8.05,8.16,8.32,8.47,8.64,8.84,9.02,9.21,9.43,9.62,9.83,10.01,10.21,10.39,10.55,10.7,10.82,10.92,11.04,11.23,11.47,11.82,12.25,12.76,13.32,13.95,14.65,15.39,16.16,16.87,17.49,18.01,18.44,18.78,19.07,19.31,19.51,19.66,19.82,20.03,20.31,20.68,21.13,21.67,22.33,23.11,24.02,25.05,26.1,27.04,27.8,28.33,28.65,28.85,28.99,29.15,29.36,29.57,29.8,30.03,30.24
Cayman Islands,14,136,Country/Area,915,6.42,6.27,6.25,6.32,6.46,6.67,6.91,7.18,7.43,7.66,7.87,8.02,8.14,8.22,8.3,8.37,8.44,8.52,8.64,8.83,9.14,9.59,10.14,10.78,11.49,12.23,13.02,13.85,14.68,15.49,16.21,16.86,17.44,18.01,18.66,19.46,20.43,21.54,22.78,24.03,25.31,26.54,27.78,29.07,30.52,32.16,34.07,36.16,38.33,40.42,42.31,43.93,45.35,46.62,47.9,49.26,50.73,52.28,53.84,55.32,56.67,57.88,58.96,59.93,60.85,61.72,62.56,63.38,64.17,64.95,65.72
Cuba,,192,Country/Area,915,5919.99,6050.14,6178.81,6303.73,6423.87,6539.46,6652.07,6764.55,6880.73,7005.03,7141.24,7291.2,7453.54,7623.3,7793.26,7958.17,8115.49,8266.37,8413.55,8561.39,8712.54,8868.09,9025.35,9178.81,9320.94,9446.44,9554.19,9646.14,9724.04,9790.85,9849.46,9898.89,9940.31,9981.3,10031.65,10097.91,10183.89,10286.65,10397.52,10503.97,10596.99,10673.53,10736.39,10789.31,10838.46,10888.25,10939.29,10989.73,11038.71,11084.67,11126.42,11164.68,11199.66,11229.19,11250.37,11261.59,11261.24,11251.12,11236.98,11226.71,11225.83,11236.67,11257.11,11282.72,11306.91,11324.78,11335.11,11339.26,11338.15,11333.48,11326.62
Curaçao,15,531,Country/Area,915,100.18,104.57,108.29,111.51,114.35,116.92,119.28,121.46,123.48,125.31,126.94,128.38,129.69,130.96,132.32,133.88,135.65,137.62,139.68,141.72,143.64,145.45,147.15,148.62,149.69,150.26,150.24,149.71,148.94,148.28,148,148.21,148.81,149.59,150.19,150.38,150.07,149.33,148.35,147.42,146.68,146.24,146.02,145.77,145.13,143.88,141.97,139.53,136.87,134.3,132.15,130.41,129.08,128.42,128.71,130.14,132.81,136.58,141,145.36,149.19,152.31,154.81,156.79,158.43,159.85,161.06,161.99,162.75,163.42,164.1
Dominica,,212,Country/Area,915,51.1,51.7,52.29,52.94,53.68,54.56,55.54,56.63,57.78,58.92,60.02,61.04,61.98,62.92,63.92,65.04,66.3,67.69,69.03,70.21,71.08,71.57,71.73,71.74,71.81,72.09,72.66,73.44,74.28,74.96,75.32,75.31,75.01,74.48,73.85,73.21,72.53,71.84,71.21,70.72,70.42,70.38,70.55,70.82,71.04,71.11,70.93,70.59,70.18,69.83,69.65,69.67,69.84,70.1,70.39,70.58,70.72,70.8,70.83,70.85,70.88,70.91,70.95,71.02,71.09,71.18,71.31,71.46,71.63,71.81,71.99
Dominican Republic,,214,Country/Area,915,2364.65,2438.64,2517.65,2601.34,2689.33,2781.34,2877.1,2976.42,3079.14,3185.11,3294.22,3406.28,3521.02,3638.11,3757.12,3877.77,3999.8,4123.1,4247.56,4373.13,4499.72,4627.2,4755.46,4884.46,5014.19,5144.63,5275.77,5407.5,5539.6,5671.8,5803.93,5935.9,6067.77,6199.66,6331.76,6464.23,6596.97,6729.93,6863.44,6997.88,7133.49,7270.41,7408.34,7546.47,7683.71,7819.24,7952.77,8084.41,8214.43,8343.29,8471.32,8598.6,8724.97,8850.32,8974.44,9097.26,9218.68,9338.86,9458.08,9576.74,9695.12,9813.22,9930.92,10048.23,10165.18,10281.68,10397.74,10513.11,10627.15,10738.96,10847.9
Grenada,,308,Country/Area,915,76.68,76.65,77.18,78.17,79.5,81.1,82.88,84.73,86.57,88.33,89.93,91.32,92.48,93.41,94.12,94.63,94.94,95.01,94.93,94.72,94.48,94.21,93.98,93.66,93.19,92.49,91.47,90.22,89.1,88.6,89.03,90.61,93.13,96.02,98.47,99.95,100.18,99.43,98.13,96.93,96.33,96.46,97.16,98.23,99.35,100.29,101,101.57,102.02,102.43,102.84,103.24,103.64,104,104.35,104.66,104.94,105.18,105.46,105.79,106.23,106.79,107.45,108.17,108.9,109.6,110.26,110.87,111.45,112,112.52
Guadeloupe,2,312,Country/Area,915,210,213.34,217.58,222.8,228.99,236.05,243.84,252.03,260.25,268.08,275.17,281.31,286.54,291.11,295.51,300.06,304.87,309.77,314.5,318.63,321.89,324.17,325.64,326.58,327.43,328.49,330.01,331.92,333.92,335.59,336.68,336.93,336.61,336.68,338.43,342.74,350.06,359.91,370.91,381.14,389.25,394.62,397.69,399.38,401.07,403.73,407.78,412.74,417.62,421.04,422.05,420.25,416.13,410.87,406.07,402.9,401.81,402.41,403.97,405.44,406.07,405.64,404.45,402.83,401.31,400.26,399.76,399.68,399.85,400.05,400.13
Haiti,,332,Country/Area,915,3221.27,3274.41,3330.33,3388.96,3450.25,3514.07,3580.31,3648.82,3719.43,3791.93,3866.16,3941.96,4019.17,4097.76,4177.63,4258.73,4341.33,4425.32,4509.81,4593.67,4676.24,4757.18,4837.33,4918.63,5003.71,5094.57,5191.64,5294.63,5404.02,5520.19,5643.18,5773.37,5910.22,6051.62,6194.69,6337.28,6478.54,6618.74,6758.22,6897.76,7037.92,7178.61,7319.49,7460.68,7602.32,7744.51,7887.31,8030.72,8174.68,8319.07,8463.8,8608.81,8754.15,8900.11,9047.08,9195.29,9344.78,9495.34,9646.57,9798.05,9949.32,10100.32,10250.92,10400.67,10549.01,10695.54,10839.98,10982.37,11123.18,11263.08,11402.53
Jamaica,,388,Country/Area,915,1402.9,1437.07,1468.23,1495.94,1520.09,1540.96,1559.15,1575.69,1591.82,1609.02,1628.52,1651.07,1676.5,1703.66,1730.74,1756.51,1780.52,1803.32,1825.87,1849.66,1875.64,1904.28,1935.09,1966.98,1998.31,2028.02,2055.37,2080.82,2105.9,2132.78,2162.84,2196.92,2234.06,2271.74,2306.37,2335.51,2358.17,2375.4,2389.42,2403.46,2419.9,2439.33,2461.05,2484.58,2509.04,2533.71,2558.63,2583.91,2608.87,2632.68,2654.7,2674.71,2692.84,2709.44,2725.02,2740,2754.41,2768.23,2781.87,2795.84,2810.46,2825.93,2842.13,2858.71,2875.14,2891.02,2906.24,2920.85,2934.85,2948.28,2961.16
Martinique,2,474,Country/Area,915,222,224.41,228.27,233.26,239.15,245.68,252.65,259.88,267.21,274.49,281.63,288.48,294.96,300.95,306.36,311.12,315.17,318.5,321.17,323.32,325.01,326.33,327.3,327.88,328.07,327.84,327.18,326.2,325.3,324.93,325.45,326.99,329.45,332.6,336.17,339.88,343.74,347.75,351.71,355.34,358.46,360.89,362.76,364.37,366.25,368.73,371.91,375.64,379.64,383.53,387.02,389.98,392.5,394.53,396.11,397.19,397.85,398.05,397.66,396.56,394.67,391.89,388.37,384.58,381.14,378.48,376.79,375.95,375.67,375.56,375.27
Montserrat,14,500,Country/Area,915,13.52,14.13,14.48,14.6,14.51,14.23,13.82,13.32,12.8,12.32,11.96,11.73,11.65,11.67,11.71,11.72,11.7,11.65,11.6,11.55,11.54,11.52,11.53,11.54,11.55,11.58,11.61,11.65,11.68,11.67,11.61,11.48,11.3,11.11,10.93,10.79,10.7,10.67,10.63,10.62,10.62,10.63,10.66,10.6,10.36,9.85,9.01,7.93,6.75,5.69,4.93,4.53,4.43,4.53,4.7,4.84,4.89,4.92,4.91,4.89,4.9,4.91,4.93,4.93,4.95,4.97,4.98,4.99,4.99,4.99,5
Puerto Rico,16,630,Country/Area,915,2218.01,2193.62,2183.08,2181.92,2186.79,2195.52,2207.05,2221.48,2239.83,2263.83,2294.97,2333.66,2378.38,2425.35,2469.57,2507.54,2537.57,2561.03,2581.39,2603.71,2631.7,2666.17,2705.84,2749.86,2796.66,2844.93,2894.67,2945.85,2996.84,3045.6,3090.69,3131.51,3168.34,3201.86,3233.17,3263.17,3291.75,3318.84,3345.57,3373.37,3403.17,3435.26,3469.07,3503.47,3536.81,3567.69,3596.1,3621.9,3643.67,3659.73,3668.96,3670.31,3664.32,3653.66,3642.01,3631.89,3623.78,3616.34,3608.03,3596.53,3579.84,3559.86,3536.57,3503.87,3453.67,3381.51,3283.12,3163.68,3039.6,2933.4,2860.84
Saint Barthélemy,2,652,Country/Area,915,2,2.06,2.12,2.17,2.21,2.25,2.27,2.28,2.29,2.3,2.31,2.32,2.34,2.37,2.38,2.38,2.37,2.36,2.34,2.33,2.35,2.37,2.41,2.46,2.52,2.6,2.69,2.81,2.92,3.02,3.09,3.1,3.11,3.11,3.19,3.37,3.67,4.07,4.53,4.97,5.35,5.64,5.85,6.03,6.18,6.37,6.56,6.76,6.98,7.2,7.42,7.66,7.9,8.14,8.36,8.56,8.74,8.87,9.01,9.12,9.23,9.34,9.45,9.55,9.62,9.7,9.75,9.79,9.82,9.85,9.89
Saint Kitts and Nevis,,659,Country/Area,915,46.05,46.13,46.49,47.04,47.73,48.49,49.25,49.95,50.55,50.98,51.2,51.2,50.96,50.53,49.93,49.21,48.35,47.39,46.4,45.53,44.88,44.49,44.32,44.3,44.32,44.27,44.14,43.94,43.7,43.45,43.2,42.96,42.73,42.48,42.2,41.87,41.48,41.04,40.63,40.35,40.26,40.38,40.69,41.14,41.62,42.08,42.47,42.86,43.23,43.62,44.08,44.6,45.17,45.75,46.32,46.85,47.33,47.77,48.18,48.6,49.01,49.44,49.88,50.33,50.78,51.2,51.63,52.04,52.44,52.83,53.19
Saint Lucia,,662,Country/Area,915,82.78,83.81,84.66,85.35,85.95,86.47,86.99,87.52,88.12,88.84,89.7,90.72,91.89,93.21,94.64,96.14,97.72,99.37,101.03,102.6,104.02,105.24,106.3,107.31,108.39,109.63,111.07,112.69,114.4,116.15,117.83,119.44,120.99,122.57,124.3,126.25,128.45,130.87,133.36,135.79,138.02,140,141.76,143.4,145.08,146.87,148.84,150.92,153.02,154.99,156.74,158.18,159.39,160.53,161.82,163.41,165.38,167.64,170.01,172.22,174.09,175.54,176.65,177.51,178.31,179.13,180.03,180.96,181.89,182.8,183.63
Saint Martin (French part),2,663,Country/Area,915,3,3.11,3.19,3.26,3.33,3.41,3.49,3.59,3.69,3.8,3.9,4,4.08,4.18,4.3,4.47,4.68,4.92,5.19,5.46,5.71,5.95,6.16,6.37,6.6,6.88,7.25,7.71,8.19,8.56,8.78,8.68,8.37,8.3,9.07,11.07,14.56,19.27,24.37,28.72,31.52,32.44,31.82,30.19,28.48,27.32,26.85,26.91,27.39,28.12,28.94,29.85,30.91,32.06,33.19,34.25,35.24,36.14,36.88,37.38,37.58,37.45,37.01,36.46,36.02,35.87,36.06,36.57,37.26,38,38.66
Saint Vincent and the Grenadines,,670,Country/Area,915,67,68.08,69.29,70.61,72.05,73.55,75.11,76.67,78.2,79.63,80.97,82.17,83.24,84.2,85.12,86.01,86.91,87.78,88.66,89.57,90.5,91.49,92.51,93.56,94.62,95.67,96.69,97.71,98.69,99.65,100.57,101.44,102.26,103.04,103.78,104.5,105.22,105.91,106.53,107.07,107.49,107.77,107.94,108.04,108.06,108.04,107.98,107.9,107.81,107.76,107.79,107.89,108.1,108.32,108.52,108.62,108.6,108.52,108.4,108.29,108.26,108.32,108.44,108.62,108.87,109.14,109.47,109.83,110.21,110.59,110.95
Sint Maarten (Dutch part),15,534,Country/Area,915,1.49,1.66,1.8,1.91,2.01,2.11,2.21,2.32,2.46,2.62,2.83,3.08,3.37,3.7,4.06,4.46,4.9,5.36,5.86,6.35,6.85,7.37,7.89,8.43,8.98,9.56,10.15,10.79,11.48,12.24,13.1,14.03,15.03,16.18,17.52,19.13,21.03,23.16,25.33,27.28,28.81,29.85,30.46,30.77,30.95,31.16,31.43,31.73,32.04,32.32,32.56,32.78,32.99,33.2,33.34,33.44,33.45,33.41,33.42,33.65,34.17,35.05,36.24,37.58,38.87,39.97,40.81,41.44,41.94,42.39,42.88
Trinidad and Tobago,,780,Country/Area,915,645.63,658.75,675.58,695.25,716.88,739.7,762.98,786.02,808.22,829.03,847.97,864.81,879.44,891.95,902.62,911.74,919.22,925.23,930.79,937.18,945.36,955.75,968.14,982.01,996.48,1010.93,1025.1,1039.21,1053.56,1068.64,1084.74,1101.98,1120.02,1138.07,1155.08,1170.3,1183.38,1194.53,1204.15,1212.86,1221.12,1229.11,1236.69,1243.61,1249.53,1254.2,1257.55,1259.84,1261.7,1263.93,1267.16,1271.63,1277.21,1283.56,1290.12,1296.5,1302.55,1308.45,1314.45,1320.92,1328.14,1336.18,1344.81,1353.71,1362.34,1370.33,1377.56,1384.06,1389.84,1394.97,1399.49
Turks and Caicos Islands,14,796,Country/Area,915,5.04,5,4.98,5.04,5.13,5.25,5.38,5.5,5.64,5.75,5.83,5.87,5.88,5.87,5.85,5.81,5.78,5.77,5.75,5.77,5.84,5.97,6.16,6.38,6.61,6.83,7.02,7.19,7.38,7.61,7.89,8.24,8.65,9.1,9.56,9.97,10.37,10.72,11.09,11.55,12.12,12.82,13.64,14.53,15.4,16.22,16.93,17.57,18.23,19.07,20.17,21.58,23.23,25.01,26.71,28.18,29.39,30.38,31.2,31.93,32.66,33.37,34.07,34.73,35.37,35.98,36.56,37.12,37.67,38.19,38.72
United States Virgin Islands,16,850,Country/Area,915,26.79,27.37,28.12,28.81,29.35,29.67,29.86,30.06,30.49,31.43,33.14,35.72,39.07,42.89,46.73,50.23,53.25,55.92,58.47,61.32,64.72,68.77,73.28,77.98,82.48,86.47,89.85,92.69,95.07,97.17,99.09,100.87,102.47,103.82,104.78,105.28,105.29,104.89,104.32,103.86,103.76,104.09,104.8,105.73,106.64,107.39,107.94,108.31,108.55,108.68,108.73,108.69,108.56,108.35,108.1,107.8,107.47,107.12,106.75,106.42,106.09,105.79,105.52,105.3,105.11,104.95,104.83,104.75,104.67,104.58,104.42
Central America,,916,Subregion,1830,37975.5,39045.3,40166.16,41340.99,42571.71,43859.27,45203.61,46603.67,48057.49,49562.57,51116.56,52717.97,54367.02,56065.67,57817.05,59622.9,61481.92,63391.2,65348.98,67353.07,69400.46,71490.34,73618.75,75775.81,77949.04,80129.06,82310.23,84492.59,86679.77,88878.31,91092.36,93322.66,95565.09,97813.45,100059.3,102296.7,104521.76,106736.06,108945.63,111159.57,113383.7,115620.58,117866,120111.04,122343.22,124553.73,126742.36,128912.73,131065.09,133200.65,135322.35,137426.16,139516.85,141616.55,143754.57,145950.55,148213.06,150532.55,152888,155248.74,157591.31,159908.33,162202.71,164473.31,166721.88,168949.16,171152.17,173326.78,175471.78,177586.53,179670.19
Belize,,84,Country/Area,916,68.92,71.24,73.43,75.55,77.69,79.87,82.13,84.51,86.95,89.49,92.07,94.7,97.39,100.17,103.07,106.12,109.35,112.71,116.07,119.27,122.18,124.8,127.15,129.29,131.31,133.26,135.14,136.99,138.98,141.3,144.14,147.57,151.49,155.82,160.34,164.92,169.57,174.33,179.02,183.47,187.55,191.14,194.32,197.63,201.68,206.96,213.66,221.58,230.25,238.98,247.31,255.07,262.39,269.43,276.52,283.8,291.34,299.03,306.82,314.66,322.47,330.24,338,345.71,353.37,360.93,368.4,375.78,383.07,390.35,397.62
Costa Rica,,188,Country/Area,916,945.68,972.15,1002.44,1035.86,1071.88,1110.09,1150.27,1192.36,1236.39,1282.5,1330.79,1381.19,1433.35,1486.56,1539.94,1592.83,1645.08,1696.74,1747.69,1797.89,1847.39,1896.07,1944.17,1992.52,2042.24,2094.19,2148.68,2205.62,2264.94,2326.46,2389.97,2455.59,2523.36,2593.02,2664.22,2736.72,2810.25,2884.86,2960.93,3039.02,3119.44,3202.08,3286.53,3372.3,3458.83,3545.52,3632.36,3718.95,3803.89,3885.43,3962.37,4034.07,4100.92,4164.05,4225.16,4285.5,4345.42,4404.63,4463.12,4520.74,4577.37,4633.09,4688,4742.11,4795.39,4847.81,4899.34,4949.96,4999.44,5047.56,5094.11
El Salvador,,222,Country/Area,916,2199.9,2237.78,2280.44,2327.37,2378.24,2432.88,2491.25,2553.51,2619.9,2690.75,2766.32,2846.6,2931.19,3019.22,3109.57,3201.31,3293.95,3387.38,3481.62,3576.83,3673.07,3770.06,3867.31,3964.27,4060.26,4154.69,4247.51,4338.45,4426.68,4511.13,4591.14,4666.36,4737.26,4804.94,4871.04,4936.8,5002.34,5067.53,5133.27,5200.61,5270.07,5342.19,5416.33,5490.48,5561.92,5628.6,5689.94,5746.29,5797.76,5844.83,5887.93,5927,5962.14,5994.08,6023.8,6052.12,6079.4,6105.81,6131.77,6157.68,6183.88,6210.57,6237.92,6266.08,6295.12,6325.12,6356.14,6388.12,6420.74,6453.55,6486.2
Guatemala,,320,Country/Area,916,3114.96,3212.33,3311.53,3413.16,3517.65,3625.31,3736.23,3850.44,3967.74,4087.92,4210.75,4336.13,4464.25,4595.51,4730.53,4869.71,5013.17,5160.62,5311.61,5465.52,5621.79,5780.48,5941.57,6104.53,6268.71,6433.72,6599.21,6765.52,6933.91,7106.14,7283.46,7466.48,7654.82,7847.47,8042.9,8240.06,8438.6,8639.11,8842.57,9050.46,9263.82,9483.27,9708.55,9938.7,10172.3,10408.49,10646.68,10887.64,11133.5,11387.21,11650.74,11924.94,12208.85,12500.48,12796.93,13096.03,13397.02,13700.33,14006.42,14316.25,14630.42,14948.79,15270.77,15595.82,15923.24,16252.43,16583.08,16914.98,17247.86,17581.48,17915.57
Honduras,,340,Country/Area,916,1546.72,1588.56,1631.73,1676.51,1723.01,1771.36,1821.54,1873.49,1927.1,1982.19,2038.64,2096.41,2155.65,2216.71,2280.04,2346.01,2414.81,2486.42,2560.72,2637.52,2716.65,2798.13,2882.1,2968.98,3059.25,3153.25,3251.15,3352.83,3458.1,3566.66,3678.27,3792.92,3910.64,4031.33,4154.86,4281.17,4410.27,4542.22,4677.02,4814.7,4955.3,5098.59,5244.68,5394.42,5548.97,5709.01,5874.81,6045.7,6220.41,6397.14,6574.51,6751.91,6929.27,7106.32,7282.95,7458.98,7634.3,7808.52,7980.96,8150.78,8317.47,8480.67,8640.69,8798.52,8955.58,9112.9,9270.79,9429.02,9587.52,9746.12,9904.61
Mexico,,484,Country/Area,916,27944.67,28749.85,29590.08,30468.85,31388.57,32350.59,33355.18,34401.54,35487.96,36612.11,37771.86,38966.05,40195.32,41462.37,42771.08,44123.86,45519.75,46956.21,48431.97,49945.28,51493.57,53076.37,54689.94,56324.31,57966.81,59607.95,61242.19,62869.91,64494.87,66123.91,67761.37,69407.62,71058.65,72709.31,74352.63,75983.49,77599.11,79200.08,80788.73,82368.93,83943.14,85512.62,87075.14,88625.44,90156.4,91663.29,93147.05,94611.01,96056.31,97484.82,98899.85,100298.15,101684.76,103081.02,104514.93,106005.2,107560.16,109170.5,110815.27,112463.89,114092.96,115695.47,117274.16,118827.16,120355.14,121858.25,123333.38,124777.33,126190.78,127575.53,128932.75
Nicaragua,,558,Country/Area,916,1294.99,1332.05,1372.1,1414.94,1460.35,1508.1,1557.96,1609.65,1662.91,1717.47,1773.13,1829.77,1887.43,1946.24,2006.48,2068.38,2131.97,2197.3,2264.62,2334.29,2406.52,2481.35,2558.71,2638.7,2721.42,2806.86,2894.97,2985.48,3077.86,3171.4,3265.52,3360.14,3455.13,3549.71,3642.98,3734.34,3823.13,3909.67,3995.53,4082.96,4173.44,4267.57,4364.51,4462.5,4559.01,4652.19,4741.57,4827.66,4910.64,4991.04,5069.31,5145.37,5219.32,5292.12,5364.93,5438.69,5513.76,5590.07,5667.44,5745.54,5824.06,5903.04,5982.53,6062.46,6142.73,6223.23,6303.97,6384.84,6465.5,6545.5,6624.55
Panama,,591,Country/Area,916,859.66,881.35,904.41,928.75,954.31,981.08,1009.04,1038.18,1068.54,1100.14,1133.01,1167.12,1202.45,1238.89,1276.33,1314.68,1353.85,1393.82,1434.68,1476.48,1519.29,1563.09,1607.8,1653.21,1699.06,1745.14,1791.39,1837.8,1884.43,1931.3,1978.49,2025.97,2073.75,2121.86,2170.33,2219.2,2268.5,2318.26,2368.56,2419.42,2470.95,2523.12,2575.95,2629.58,2684.12,2739.67,2796.29,2853.91,2912.32,2971.2,3030.33,3089.64,3149.2,3209.06,3269.36,3330.22,3391.67,3453.67,3516.2,3579.22,3642.69,3706.48,3770.64,3835.45,3901.31,3968.49,4037.07,4106.76,4176.87,4246.44,4314.77
South America,,931,Subregion,1830,113765.19,116853.65,120043.21,123321.74,126681.75,130120.24,133638.91,137244.22,140946.13,144756.68,148685.68,152735.91,156898.85,161152.9,165468.54,169823.17,174212.39,178638.48,183094.38,187573.59,192073.92,196589.34,201125.76,205707.78,210369.13,215134.42,220007.82,224983.26,230061.55,235240.53,240515.27,245886.79,251346.39,256866.41,262410.93,267951.82,273476.29,278983.18,284470.91,289942.2,295398.18,300829.46,306228.63,311601.58,316958.27,322302.32,327635.13,332943.54,338199.12,343364.52,348411.89,353333.49,358133.21,362809.67,367365.34,371804.64,376122.78,380325.06,384439.48,388503.34,392543.7,396571.75,400581.56,404561.95,408493.8,412362.69,416164.87,419903.92,423581.1,427199.43,430759.77
Argentina,,32,Country/Area,931,17037.91,17390.38,17742.98,18094.29,18443.31,18789.42,19132.41,19472.47,19810.17,20146.31,20481.78,20817.27,21153.04,21488.92,21824.43,22159.64,22494.03,22828.87,23168.27,23517.61,23880.56,24259.56,24653.17,25056.48,25462.31,25865.78,26264.68,26661.4,27061.04,27471.05,27896.53,28338.51,28794.55,29262.05,29737.1,30216.28,30698.96,31184.41,31668.94,32148.14,32618.65,33079,33529.32,33970.1,34402.67,34828.17,35246.38,35657.44,36063.45,36467.22,36870.8,37275.64,37681.74,38087.87,38491.97,38892.92,39289.88,39684.3,40080.16,40482.79,40895.75,41320.5,41755.19,42196.03,42637.51,43075.42,43508.46,43937.14,44361.15,44780.68,45195.78
Bolivia (Plurinational State of),,68,Country/Area,931,3081.84,3124.34,3170.68,3220.68,3274.21,3331.04,3390.97,3453.78,3519.19,3587,3656.96,3728.95,3803,3879.19,3957.76,4038.87,4122.52,4208.68,4297.52,4389.25,4484,4581.75,4682.39,4785.92,4892.29,5001.41,5113.46,5228.25,5344.95,5462.41,5579.93,5697.1,5814.34,5932.81,6054.13,6179.46,6309.13,6442.82,6580.32,6721.12,6864.84,7011.46,7160.92,7312.86,7466.79,7622.33,7779.27,7937.45,8096.76,8257.07,8418.27,8580.24,8742.82,8905.82,9069.04,9232.3,9395.45,9558.44,9721.46,9884.79,10048.6,10212.95,10377.68,10542.38,10706.52,10869.73,11031.82,11192.85,11353.14,11513.1,11673.03
Brazil,,76,Country/Area,931,53974.73,55606.41,57283.66,58999.28,60749.49,62533.92,64355.71,66221.47,68140.43,70123.37,72179.24,74311.34,76514.33,78772.65,81064.57,83373.53,85696.5,88035.82,90387.08,92746.61,95113.27,97482.93,99859.39,102259.5,104706.19,107216.21,109790.94,112425.39,115121.16,117878.41,120694.01,123570.33,126498.32,129448.82,132383.57,135274.08,138108.92,140891.61,143627.51,146328.31,149003.23,151648.01,154259.38,156849.09,159432.72,162019.89,164614.68,167209.05,169785.25,172318.67,174790.34,177196.05,179537.52,181809.24,184006.48,186127.11,188167.35,190130.45,192030.36,193886.51,195713.64,197514.54,199287.29,201035.9,202763.74,204471.76,206163.06,207833.83,209469.32,211049.52,212559.41
Chile,,152,Country/Area,931,6598.52,6729.58,6869.71,7016.47,7167.91,7322.66,7479.85,7639.21,7800.87,7965.32,8132.99,8303.8,8476.9,8650.39,8821.86,8989.61,9152.85,9312.09,9468.85,9625.3,9783.13,9942.72,10103.68,10265.83,10428.8,10592.31,10756.88,10922.78,11089.17,11254.88,11419.35,11582.02,11743.91,11907.96,12078.14,12257.24,12445.83,12642.92,12847.71,13058.76,13274.62,13495.26,13719.82,13944.93,14166.35,14380.86,14587.37,14786.23,14977.74,15162.8,15342.35,15516.11,15684.41,15849.65,16014.97,16182.71,16354.51,16530.2,16708.26,16886.18,17062.53,17233.58,17400.36,17571.51,17758.97,17969.36,18209.07,18470.44,18729.17,18952.04,19116.21
Colombia,,170,Country/Area,931,11981.58,12295.97,12633.9,12993.85,13374.54,13775,14194.56,14632.79,15089.52,15564.62,16057.71,16567.82,17092.92,17629.98,18175.19,18725.24,19279.73,19837.51,20393.7,20942.45,21480.06,22003.98,22516.43,23024.51,23538.39,24065.5,24608.1,25164.54,25733.67,26313,26900.51,27496.61,28101.82,28714.18,29331.23,29951.19,30572.48,31195.42,31822.53,32457.5,33102.57,33758.33,34422.57,35091.27,35758.98,36421.44,37076.39,37723.8,38364.31,38999.47,39629.97,40255.96,40875.36,41483.87,42075.95,42647.73,43200.9,43737.51,44254.97,44750.05,45222.7,45662.75,46075.72,46495.49,46967.71,47520.67,48175.05,48909.84,49661.06,50339.44,50882.88
